,Unnamed: 0,id_ponto,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,num_lat_bts,num_long_bts
0,0,0,-103.705,-110.425,-107.381666666667,-110.33,-108.345,-106.59,-107.153333333333,-102.12,-115.0,5.0,3.0,2.0,-8.055786,-34.951505
1,1,3,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-88.47,-94.0242857142857,-108.12,5.0,3.0,2.0,-8.055784,-34.951608
2,2,8,-102.61,-115.0,-101.38,-115.0,-104.295,-97.36,-96.98,-99.5725,-115.0,5.0,3.0,2.0,-8.055506,-34.951693
3,3,10,-89.14,-97.2514285714286,-86.6428571428571,-96.0366666666667,-96.5925,-92.46,-86.8133333333333,-102.688,-87.27,5.0,3.0,2.0,-8.05039,-34.95963
4,4,12,-109.088333333333,-107.2,-107.01,-108.43,-104.845714285714,-101.435714285714,-103.065,-102.11,-115.0,5.0,3.0,2.0,-8.05538,-34.951736
5,5,14,-91.53,-99.1157142857143,-89.4242857142857,-96.235,-92.8375,-93.3271428571428,-82.3633333333333,-81.94,-79.34,5.0,3.0,2.0,-8.05578,-34.95639
6,6,17,-80.2464285714286,-98.0107142857143,-81.3666666666667,-99.55,-97.245,-93.06714285714293,-71.0,-99.9346666666667,-95.8475,5.0,3.0,2.0,-8.049710000000001,-34.954640000000005
7,7,19,-98.748,-99.67,-98.61,-97.86,-92.8375,-90.7471428571428,-100.03,-95.25,-115.0,5.0,3.0,2.0,-8.055494,-34.951316
8,8,23,-115.0,-115.0,-115.0,-115.0,-96.33,-92.66833333333332,-88.89,-78.2614285714286,-115.0,5.0,3.0,2.0,-8.055684,-34.951331
9,9,29,-100.83,-115.0,-98.56,-115.0,-100.406666666667,-97.84571428571432,-99.255,-104.94,-115.0,5.0,3.0,2.0,-8.055833999999999,-34.951362
10,10,30,-91.32285714285707,-99.2842857142857,-91.76428571428568,-102.91,-92.8475,-95.2528571428571,-87.3566666666667,-74.904,-87.35,5.0,3.0,2.0,-8.05625,-34.95713
11,11,31,-84.6314285714286,-99.6357142857143,-86.47714285714291,-95.72,-100.225,-88.2328571428571,-78.955,-89.444,-61.08,5.0,3.0,2.0,-8.05402,-34.95955
12,12,33,-81.58,-98.7371428571429,-87.9,-96.4316666666667,-95.3975,-93.6828571428572,-85.2283333333333,-75.2824,-95.16,5.0,3.0,2.0,-8.0552,-34.95624
13,13,36,-115.0,-115.0,-115.0,-115.0,-96.33,-92.8566666666667,-82.41,-78.2614285714286,-115.0,5.0,3.0,2.0,-8.055684,-34.951331
14,14,37,-89.62,-96.14,-97.09,-97.6033333333333,-94.0525,-98.92,-83.185,-80.634,-96.28,5.0,3.0,2.0,-8.05533,-34.9537
15,15,39,-101.28,-115.0,-98.49,-115.0,-99.34,-93.73,-98.74,-98.66,-115.0,5.0,3.0,2.0,-8.055506,-34.951693
16,16,41,-103.04,-115.0,-98.56,-115.0,-91.7266666666667,-95.6157142857143,-99.255,-93.26,-115.0,5.0,3.0,2.0,-8.055833999999999,-34.951362
